Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,Movie Name,Critics Score,Audience Score,Rerelease Date (Theaters),Release Date (DVD)
Vittorio De Sica,"Angelo Rizzoli, 
Giuseppe Amato, 
Vittorio De Sica",Cesar Zavattini,Rialto Pictures,Rizzoli Film,,Drama,Italian,"Jan 20, 1952, Original","Mar 11, 2017",$74.3K,1h 31m,Mono,,Umberto D,98%,93%,"Nov 7, 1955",
Ryan Coogler,Kevin Feige,"Ryan Coogler, 
Joe Robert Cole",Walt Disney,Walt Disney Pictures,PG-13 (Sequences of Action Violence|A Brief Rude Gesture),"Action, 
Adventure, 
Fantasy",English,"Feb 16, 2018, Wide","May 2, 2018",$700.2M,2h 14m,"DTS, 
Dolby Atmos",Scope (2.35:1),Black Panther,96%,79%,"Feb 1, 2019",
Howard Hawks,Howard Hawks,"Hagar Wilde, 
Dudley Nichols, 
Hagar Wilde",RKO Radio Pictures,RKO Radio Pictures Inc.,,Comedy,English,"Feb 18, 1938, Wide","Jan 1, 2008",,1h 42m,Mono,,Bringing Up Baby,97%,89%,,
George Roy Hill,"Tony Bill, 
Julia Phillips, 
Michael Phillips",David S. Ward,"Universal Home Entertainment, 
MCA/Universal Home Video, 
Universal Pictures",Universal Pictures,PG,"Comedy, 
Drama",English,"Dec 25, 1973, Wide","May 8, 2015",,2h 9m,,,The Sting,93%,95%,,
James Mangold,"Hutch Parker, 
Simon Kinberg, 
Lauren Shuler Donner","James Mangold, 
Michael Green, 
Scott Frank",20th Century Fox,"Marvel Entertainment, 
20th Century Fox, 
Hutch Parker Entertainment, 
Donners' Company",R (Language Throughout|Brief Nudity|Strong Brutal Violence),"Action, 
Adventure, 
Fantasy",English,"Mar 3, 2017, Wide","May 16, 2017",$226.3M,2h 17m,Dolby Atmos,Scope (2.35:1),Logan,93%,91%,,
Dan Gilroy,"Michel Litvak, 
Jake Gyllenhaal, 
David Lancaster, 
Jennifer Fox, 
Tony Gilroy",Dan Gilroy,Open Road,Bold Films,R (Language|Graphic Images|Violence),"Mystery & Thriller, 
Crime, 
Drama",English,"Oct 31, 2014, Wide","Jan 27, 2015",$32.4M,1h 57m,"Datasat, 
Dolby Digital",,Nightcrawler,95%,86%,"Dec 5, 2014",
Martin Scorsese,"Brad Pitt, 
Brad Grey, 
Graham King","William Monahan, 
Alan Mak",Warner Bros.,"Plan B Entertainment, 
Warner Bros., 
Initial Entertainment Group, 
Vertigo",R (Pervasive Language|Drug Material|Some Strong Sexual Content|Strong Brutal Violence),"Crime, 
Drama, 
Mystery & Thriller",English,"Oct 6, 2006, Wide","Oct 24, 2008",$132.4M,2h 32m,"Dolby SRD, 
DTS, 
SDDS",Scope (2.35:1),The Departed,91%,94%,,
Jason Reitman,"Lianne Halfon, 
John Malkovich, 
Mason Novick, 
Russell Smith",Diablo Cody,Fox,"Fox Searchlight, 
Mr. Mudd, 
Mandate Pictures",PG-13 (Mature Thematic Material|Language|Sexual Content),"Comedy, 
Drama",English,"Dec 25, 2007, Wide","Jul 1, 2016",$143.5M,1h 36m,"SDDS, 
Dolby Digital, 
DTS, 
Dolby SRD",Flat (1.85:1),Juno,93%,88%,,
Yimou Zhang,"Yimou Zhang, 
William Kong","Yimou Zhang, 
Li Feng, 
Wang Bin",Miramax Films,Beijing New Picture Film Co.,PG-13,"Action, 
History, 
Drama",Chinese,"Aug 27, 2004, Wide","Aug 26, 2016",$53.6M,1h 33m,"Surround, 
Dolby SRD",Scope (2.35:1),Hero,94%,87%,,
Edgar Wright,Nira Park,"Simon Pegg, 
Edgar Wright",Focus Features,"Working Title Films, 
WT², 
Universal Pictures, 
Big Talk, 
StudioCanal",R (Language|Gore|Zombie Violence),"Comedy, 
Horror",English,"Apr 9, 2004, Original","Jul 23, 2013",$14.1M,1h 37m,"Surround, 
Dolby SRD, 
DTS, 
SDDS",Scope (2.35:1),Shaun of the Dead,92%,93%,"Aug 30, 2024",
John Ford,John Ford,"Ernest Haycox, 
Dudley Nichols, 
Ben Hecht","UCLA Film and Television Archive [us], 
Warner Home Vídeo, 
United Artists","Walter Wanger Productions, Inc.",,Western,English,"Mar 2, 1939, Wide","Nov 29, 2011",,1h 36m,,Flat (1.37:1),Stagecoach,100%,86%,,
Robert Zemeckis,"Bob Gale, 
Neil Canton","Robert Zemeckis, 
Bob Gale",Universal Pictures,"Universal Pictures, 
Amblin Entertainment",PG,"Comedy, 
Sci-Fi",English,"Jul 3, 1985, Original","Aug 8, 2013",$247.0K,1h 56m,Surround,,Back to the Future,93%,95%,"Oct 21, 2023",
John McTiernan,"Lawrence Gordon, 
Joel Silver","Roderick Thorp, 
Jeb Stuart, 
Steven E. de Souza",20th Century Fox,"Silver Pictures, 
Gordon Company",R,"Action, 
Mystery & Thriller",English,"Jul 15, 1988, Wide","Sep 2, 2014",$82.3M,2h 11m,"Dolby Stereo, 
Magnetic Stereo 6 Track, 
Surround, 
Dolby A, 
Dolby SR","70mm, 
Scope (2.35:1)",Die Hard,94%,94%,"Dec 8, 2023",
"Joel Coen, 
Ethan Coen","Joel Coen, 
Ethan Coen, 
Scott Rudin","Joel Coen, 
Ethan Coen",Miramax Films,"Paramount Vantage, 
Miramax, 
Scott Rudin Productions",R (Strong Graphic Violence|Some Language),"Crime, 
Drama, 
Mystery & Thriller",English,"Nov 21, 2007, Wide","Apr 21, 2016",$74.3M,2h 2m,"Dolby Digital, 
DTS, 
SDDS",Scope (2.35:1),No Country for Old Men,93%,86%,"Jan 25, 2008",
"Roger Allers, 
Rob Minkoff",Don Hahn,"Irene Mecchi, 
Jonathan Roberts, 
Linda Woolverton",Walt Disney Pictures,Walt Disney Pictures,G,"Kids & Family, 
Musical, 
Adventure, 
Animation",English,"Jun 24, 1994, Wide","Aug 15, 2017",$95.6M,1h 27m,"Dolby SR, 
DTS, 
Dolby Stereo, 
SDDS, 
DTS-ES, 
Dolby A, 
Surround, 
Dolby Digital",Flat (1.85:1),The Lion King,92%,93%,"Jul 12, 2024",
Alfonso Cuarón,"Alfonso Cuarón, 
David Heyman","Alfonso Cuarón, 
Jonás Cuarón",Warner Bros. Pictures,"Esperanto Filmoj, 
Warner Bros., 
Heyday Films",PG-13 (Intense Perilous Sequences|Brief Strong Language|Some Disturbing Images),"Drama, 
Sci-Fi, 
Mystery & Thriller",English,"Oct 4, 2013, Wide","Aug 26, 2014",$274.1M,1h 31m,"SDDS, 
Datasat, 
Dolby Atmos",,Gravity,96%,79%,"Jan 17, 2014",
Luchino Visconti,Goffredo Lombardo,"Suso Cecchi d'Amico, 
Pasquale Festa Campanile, 
Enrico Medioli, 
Massimo Franciosa, 
Luchino Visconti",20th Century Fox,Titanus,PG,"History, 
Drama",Italian,"Jul 15, 1963, Original","Mar 1, 2013",,2h 45m,Mono,35mm,The Leopard,98%,89%,,
François Truffaut,Marcel Berbert,"Jean-Louis Richard, 
Suzanne Schiffman, 
François Truffaut",Warner Bros. Pictures,Les Films du Carrosse,PG,"Comedy, 
Drama, 
Romance",Canadian French,"Sep 7, 1973, Wide","May 13, 2014",$17.8K,2h 0m,Mono,35mm,Day for Night,98%,91%,,
Terrence Malick,Terrence Malick,Terrence Malick,Warner Bros. Pictures,"Badlands Company, 
Warner Bros., 
Pressman-Williams",PG,"Crime, 
Drama",English,"Oct 15, 1973, Original","Jan 30, 2014",,1h 35m,Mono,35mm,Badlands,97%,90%,,
Orson Welles,Albert Zugsmith,"Orson Welles, 
Paul Monash, 
Franklin Coen",,"Universal Pictures, 
Universal International Pictures",,"Crime, 
Drama, 
Mystery & Thriller",English,,"Mar 18, 2014",,1h 35m,,,Touch of Evil,97%,92%,,
Akira Kurosawa,Akira Kurosawa,"Ryûzô Kikushima, 
Akira Kurosawa",,Toho Company Ltd.,,"Adventure, 
Comedy, 
Mystery & Thriller",Japanese,"Oct 15, 1961, Wide","Mar 23, 2017",,1h 50m,Perspecta Stereo,Scope (2.35:1),Yojimbo,96%,96%,,
Elia Kazan,Charles K. Feldman,"Oscar Saul, 
Tennessee Williams, 
Tennessee Williams",Warner Bros. Pictures,Warner Brothers,PG,Drama,English,"Jan 1, 1951, Wide","Oct 2, 2013",,2h 2m,,Flat (1.37:1),A Streetcar Named Desire,97%,90%,,
Jean-Luc Godard,Georges de Beauregard,"Jean-Luc Godard, 
François Truffaut",,"Imperia, 
Les Films Georges de Beauregard",,"Crime, 
Drama",French (France),"Feb 7, 1961, Wide","Nov 29, 2011",$47.1K,1h 30m,,,Breathless,95%,90%,,
John Frankenheimer,"John Frankenheimer, 
George Axelrod",George Axelrod,"United Artists, 
MGM/UA Home Entertainment Inc.",M.C. Productions,PG-13,"Mystery & Thriller, 
Drama",English,"Oct 24, 1962, Original","Nov 30, 2016",$1.9M,2h 6m,,,The Manchurian Candidate,97%,90%,,
William Friedkin,Philip D'Antoni,Ernest Tidyman,20th Century Fox,20th Century Fox,R,"Crime, 
Drama, 
Mystery & Thriller",English,"Oct 7, 1971, Original","Nov 25, 2015",,1h 44m,,,The French Connection,97%,87%,,
Paul Greengrass,"Frank Marshall, 
Patrick Crowley, 
Paul L. Sandberg","Tony Gilroy, 
Scott Z. Burns, 
George Nolfi",Universal Pictures,"Kennedy/Marshall, 
Universal Pictures",PG-13 (Violence|Intense Sequences of Action),"Action, 
Mystery & Thriller",English,"Aug 3, 2007, Wide","Jul 22, 2015",$227.4M,1h 55m,"SDDS, 
Dolby Digital, 
DTS, 
Dolby SRD",Scope (2.35:1),The Bourne Ultimatum,92%,91%,,
George Cukor,"James C. Katz, 
Jack L. Warner",Alan Jay Lerner,Warner Bros. Pictures,Warner Brothers,G,Musical,English,"Oct 21, 1964, Limited","Nov 9, 2020",$447.6K,2h 50m,"Mono, 
Dolby Digital, 
DTS",,My Fair Lady,94%,90%,,
Frank Capra,Frank Capra,"Frances Goodrich, 
Albert Hackett, 
Frank Capra, 
Philip Van Doren Stern, 
Jo Swerling",RKO Radio Pictures,"Liberty Films, 
RKO Radio Pictures Inc.",PG (Some Violence|Smoking|Thematic Elements),"Holiday, 
Comedy, 
Drama",English,"Jan 7, 1946, Wide","Nov 30, 2016",$3.3M,2h 9m,,Flat (1.37:1),It's a Wonderful Life,94%,95%,"Dec 18, 2018",
Billy Wilder,Billy Wilder,"I.A.L. Diamond, 
M. Logan, 
Robert Thoeren, 
Billy Wilder",Metro-Goldwyn-Mayer,"United Artists, 
Ashton Productions, 
Mirisch Company",,Comedy,English,"Mar 1, 1959, Wide","Sep 26, 2016",,2h 0m,Mono,Flat (1.85:1),Some Like It Hot,95%,94%,,
Andrew Davis,Arnold Kopelson,"Jeb Stuart, 
David Twohy",Warner Bros. Pictures,Warner Brothers,PG-13,"Action, 
Mystery & Thriller",English,"Aug 6, 1993, Wide","May 8, 2015",$183.8M,2h 7m,Surround,Flat (1.85:1),The Fugitive,96%,89%,,
James Gunn,Kevin Feige,"James Gunn, 
Nicole Perlman",Walt Disney Pictures,"Marvel Studios, 
Moving Picture Company, 
Marvel Enterprises",PG-13 (Some Language|Intense Sci-Fi Action/Violence),"Sci-Fi, 
Adventure, 
Action, 
Fantasy, 
Comedy",English,"Aug 1, 2014, Wide","Nov 15, 2015",$333.7M,2h 1m,"Dolby Atmos, 
Dolby Digital",,Guardians of the Galaxy,92%,92%,,
"Jim Abrahams, 
David Zucker, 
Jerry Zucker","Jon Davison, 
Howard W. Koch","Jim Abrahams, 
David Zucker, 
Jerry Zucker",Paramount Pictures,Paramount Pictures,PG,Comedy,English,"Jan 1, 1980, Wide","Jun 6, 2014",,1h 28m,Mono,Flat (1.85:1),Airplane!,97%,89%,,
Harold Ramis,"Trevor Albert, 
Harold Ramis","Danny Rubin, 
Danny Rubin, 
Harold Ramis",Columbia Pictures,Columbia Pictures,PG (Thematic Elements),"Romance, 
Comedy",English,"Feb 12, 1993, Wide","Apr 16, 2012",$162.6K,1h 36m,"Dolby, 
Surround",Flat (1.85:1),Groundhog Day,94%,88%,"Feb 2, 2018",
Rob Reiner,Karen Murphy,"Christopher Guest, 
Michael McKean, 
Rob Reiner, 
Harry Shearer",Metro-Goldwyn-Mayer,Spinal Tap Prod.,R,"Comedy, 
Music",English,"Sep 8, 1984, Wide","Aug 3, 2016",$188.8K,1h 22m,"Stereo, 
Dolby Stereo, 
Surround",Flat (1.66:1),This Is Spinal Tap,96%,92%,,
"Gary Trousdale, 
Kirk Wise",Don Hahn,Linda Woolverton,"Buena Vista Pictures, 
BV International Pictures [no]","Walt Disney Pictures, 
Silver Screen Partners IV, 
Walt Disney Animation Studios",G,"Kids & Family, 
Fantasy, 
Animation",English,"Nov 13, 1991, Original","Sep 6, 2016",$219.0M,1h 24m,Surround,,Beauty and the Beast,93%,93%,,
Joseph Sargent,"Gabriel Katzka, 
Edgar J. Scherick","John Godey, 
Peter Stone",United Artists,Metro Goldwyn Mayer,R,"Mystery & Thriller, 
Action, 
Crime, 
Drama",English,"Oct 2, 1974, Limited","Nov 6, 2010",,1h 44m,,,The Taking of Pelham One Two Three,98%,88%,,
Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,United Artists,Charles Chaplin Productions,G,"Comedy, 
Drama, 
Romance",,"Jan 30, 1931, Original","Jul 14, 2015",$18.2K,1h 27m,,35mm,City Lights,95%,95%,,
Hayao Miyazaki,"Jane Schonberger, 
Hayao Miyazaki","Jack Fletcher, 
Eiko Kadono, 
Hayao Miyazaki, 
John Semper",Walt Disney Pictures,Buena Vista (Walt Disney),G,"Kids & Family, 
Adventure, 
Anime",Japanese,"Sep 1, 1998, Original","Dec 10, 2019",,1h 43m,"Surround, 
Dolby","35mm, 
Flat (1.85:1)",Kiki's Delivery Service,98%,89%,"Oct 26, 2024",
Fernando Meirelles,"Andrea Barata Ribeiro, 
Mauricio Andrade Ramos","Bráulio Mantovani, 
Paulo Lins",Miramax Films,"StudioCanal, 
Videofilmes, 
Hank Levine Film, 
O2 Filmes, 
Lereby, 
Lumiere Productions, 
Globo Filmes, 
Wild Bunch",R (Language|Drug Content|Sexuality|Strong Brutal Violence),"Crime, 
Drama",Brazilian Portuguese,"Jan 17, 2003, Original","Dec 17, 2015",$7.6M,2h 11m,"Surround, 
Dolby SR, 
Dolby Digital, 
Dolby A, 
Dolby Stereo",,City of God,91%,97%,,
Roman Polanski,William Castle,"Roman Polanski, 
Ira Levin",Paramount Pictures,Paramount Pictures,R,Horror,English,"Jun 12, 1968, Wide","Aug 1, 2013",,2h 17m,Mono,Flat (1.85:1),Rosemary's Baby,97%,87%,,
Luca Guadagnino,"Peter Spears, 
Luca Guadagnino, 
Emilie Georges, 
Rodrigo Teixeira, 
Marco Morabito","James Ivory, 
Luca Guadagnino, 
Walter Fasano",Sony Pictures Classics,"RT Features, 
La Cinéfacture, 
Frenesy Film",R (Sexual Content|Nudity|Some Language),"Romance, 
Drama, 
LGBTQ+",English,"Jan 19, 2018, Wide","Feb 23, 2018",$18.0M,2h 12m,Dolby Digital,Flat (1.85:1),Call Me by Your Name,95%,86%,,
"Ron Clements, 
John Musker","Ron Clements, 
John Musker","Roger Allers, 
Ron Clements, 
Ted Elliott, 
John Musker, 
Terry Rossio","Walt Disney Pictures, 
Buena Vista Pictures",Walt Disney Pictures,G,"Kids & Family, 
Musical, 
Comedy, 
Adventure, 
Fantasy, 
Animation",English,"Nov 25, 1992, Wide","Sep 1, 2016",$217.0M,1h 30m,"Dolby Stereo, 
Dolby Digital, 
Dolby A, 
Surround, 
Dolby SR",Flat (1.66:1),Aladdin,95%,92%,,
Dziga Vertov,,Dziga Vertov,"Kino Video, 
Amkino Corporation, 
Image Entertainment Inc.",,,Documentary,,"Sep 16, 1929, Original","Jul 15, 2008",,1h 9m,,Academy (1.33:1),The Man With a Movie Camera,98%,88%,,
Alfred Hitchcock,Edward Black,"Ethel Lina White, 
Sidney Gilliat, 
Frank Launder","Criterion Collection, 
Metro-Goldwyn-Mayer Distributing Corp., 
Gaumont British Distributors",Gainsborough Pictures,,Mystery & Thriller,British English,"Nov 1, 1938, Wide","Aug 8, 2015",,1h 37m,Mono,35mm,The Lady Vanishes,98%,88%,,
Jacques Demy,Mag Bodard,"Jacques Demy, 
Jacques Demy","Zeitgeist Films, 
Criterion Collection, 
Wellspring Media","Parc Film, 
Beta Film GmbH",,"Musical, 
Romance",French (France),"Feb 19, 1964, Original","Nov 21, 2016",$18.4K,1h 32m,Dolby Stereo,"16mm, 
Flat (1.85:1)",The Umbrellas of Cherbourg,97%,87%,"Dec 6, 2024",
Christopher McQuarrie,"Tom Cruise, 
J.J. Abrams, 
Bryan Burk, 
David Ellison, 
Dana Goldberg, 
Don Granger",Christopher McQuarrie,Paramount Pictures,"Skydance Productions, 
Tom Cruise, 
Paramount Pictures, 
Bad Robot",PG-13 (Sequences of Action & Violence|Brief Partial Nudity),"Action, 
Adventure, 
Mystery & Thriller",English,"Jul 31, 2015, Wide","Jun 1, 2016",,2h 11m,Dolby Atmos,,Mission: Impossible Rogue Nation,94%,87%,,
Krzysztof Kieslowski,Marin Karmitz,"Krzysztof Kieslowski, 
Krzysztof Piesiewicz",,"Tor Film Production, 
MK2 Films, 
Ced Productions, 
France 3 Cinéma, 
CAB Productions",R,Drama,French (France),"Dec 3, 1993, Original","Mar 11, 2017",$539.2K,1h 37m,Surround,,Three Colors: Blue,97%,93%,,
Gus Van Sant,"Dan Jinks, 
Bruce Cohen",Dustin Lance Black,Focus Features,"Groundswell Productions, 
Jinks/Cohen Company",R (Language|Brief Violence|Some Sexual Content),"Biography, 
Drama, 
LGBTQ+",English,"Nov 26, 2008, Limited","Jun 15, 2012",$31.8M,2h 8m,,,Milk,93%,89%,,
Steven Soderbergh,"Laura Bickford, 
Marshall Herskovitz, 
Edward Zwick","Simon Moore, 
Stephen Gaghan","Criterion Collection, 
USA Films","Compulsion Inc., 
Bedford Falls Productions, 
USA Films, 
Initial Entertainment Group",R (Some Sexuality|Pervasive Drug Content|Strong Language|Violence),"Crime, 
Drama",English,"Jan 5, 2001, Wide","Sep 10, 2015",$124.1M,2h 27m,"Dolby SR, 
DTS, 
SDDS, 
Surround, 
Dolby A, 
Dolby Digital",Flat (1.85:1),Traffic,93%,85%,,
Don Siegel,Walter Wanger,Daniel Mainwaring,,"Walter Wanger Productions, Inc.",,"Sci-Fi, 
Horror",English,"Feb 5, 1956, Original","Oct 1, 2016",,1h 20m,,,Invasion of the Body Snatchers,97%,85%,,
Taika Waititi,Kevin Feige,"Eric Pearson, 
Craig Kyle, 
Christopher Yost",Walt Disney,Marvel Studios,PG-13 (Brief Suggestive Material|Action|Intense Sci-Fi Violence),"Action, 
Adventure, 
Sci-Fi, 
Fantasy, 
Comedy",English,"Nov 3, 2017, Wide","Feb 17, 2018",$315.0M,2h 10m,Dolby Atmos,Scope (2.35:1),Thor: Ragnarok,93%,87%,,
Gene Saks,Howard W. Koch,Neil Simon,Paramount Pictures,Paramount Pictures,G,Comedy,English,"May 2, 1968, Original","Aug 1, 2013",,1h 45m,,,The Odd Couple,97%,89%,,
James Whale,Carl Laemmle Jr.,"William Hurlbut, 
John L. Balderston, 
Mary Shelley","MCA/Universal Pictures [us], 
Universal Pictures, 
Universal Home Entertainment, 
Film Classics Inc., 
Universal International Pictures, 
Realart Pictures Inc.",Universal Pictures,,Horror,English,"Apr 22, 1935, Wide","May 8, 2015",,1h 15m,Mono,,Bride of Frankenstein,98%,87%,,
Brian Gibson,"Doug Chapin, 
Barry Krost","Tina Turner, 
Kurt Loder, 
Kate Lanier","Abril Vídeo, 
Buena Vista Pictures",Touchstone Pictures,R,Biography,English,"Jun 9, 1993, Wide","Jan 1, 2014",$38.9M,1h 58m,Surround,,What's Love Got to Do With It,97%,88%,,
J.J. Abrams,"Kathleen Kennedy, 
J.J. Abrams, 
Bryan Burk","Lawrence Kasdan, 
J.J. Abrams, 
Michael Arndt",Walt Disney,"Lucasfilm Ltd., 
Bad Robot",PG-13 (Sci-Fi Action Violence),"Sci-Fi, 
Adventure, 
Action, 
Fantasy",English,"Dec 18, 2015, Wide","Apr 1, 2016",$123,2h 16m,"Dolby Digital, 
Dolby Atmos",Scope (2.35:1),Star Wars: The Force Awakens,93%,84%,,
William Wyler,William Wyler,"Dalton Trumbo, 
Ian McLellan Hunter, 
John Dighton",Paramount Pictures,Paramount Pictures,,"Romance, 
Comedy",English,"Aug 27, 1953, Original","Jun 6, 2014",,1h 59m,Mono,,Roman Holiday,96%,93%,,
Jean-Pierre Jeunet,Claudie Ossard,,Miramax Films,"MMC Independent GmbH, 
Tapioca Films, 
MMC Independent, 
France 3 Cinéma, 
UGC",R (Sexual Content),"Romance, 
Comedy",French (France),"Nov 2, 2001, Wide","Apr 21, 2016",$486.7K,2h 1m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
Dolby A, 
Dolby Digital",Scope (2.35:1),Amélie,90%,95%,,
Ernst Lubitsch,Ernst Lubitsch,"Melchior Lengyel, 
Ernst Lubitsch, 
Edwin Justis Mayer","Warner Home Vídeo, 
United Artists",Ernst Lubitsch-Film,,Comedy,English,"Mar 6, 1942, Original","Oct 15, 2020",,1h 39m,,,To Be or Not to Be,96%,93%,,
Alan J. Pakula,Walter Coblenz,"Carl Bernstein, 
Bob Woodward, 
William Goldman",Warner Bros. Pictures,"Warner Brothers, 
Wildwood",PG,Drama,English,"Jan 1, 1976, Wide","Feb 16, 2010",,2h 18m,Stereo,Flat (1.66:1),All the President's Men,94%,92%,,
Akira Kurosawa,"Akira Kurosawa, 
Sojiro Motoki","Shinobu Hashimoto, 
Ryûzô Kikushima, 
Akira Kurosawa, 
Hideo Oguni",,"Toho Company Ltd., 
Kurosawa Production",,Drama,Japanese,"Nov 22, 1957, Wide","Nov 17, 2016",,1h 48m,Mono,Academy (1.33:1),Throne of Blood,96%,93%,,
Martin Scorsese,"Julia Phillips, 
Michael Phillips",Paul Schrader,Columbia Pictures,"Columbia Pictures, 
Italo/Judeo Productions, 
Bill/Phillips",R,Drama,English,"Feb 8, 1976, Wide","Dec 6, 2013",,1h 53m,Stereo,,Taxi Driver,89%,93%,"Mar 19, 2011",
Howard Hawks,Howard Hawks,"William Faulkner, 
Leigh Brackett, 
Jules Furthman",Warner Bros.,Warner Brothers/Seven Arts,,"Mystery & Thriller, 
Crime, 
Drama",English,"Aug 31, 1946, Original","Sep 1, 2008",,1h 54m,,,The Big Sleep,96%,91%,,
Joss Whedon,Kevin Feige,Joss Whedon,Walt Disney,Marvel Studios,PG-13 (Intense Sci-Fi Action/Violence|A Mild Drug Reference),"Action, 
Adventure, 
Fantasy, 
Sci-Fi",English,"May 4, 2012, Wide","Jun 22, 2014",,2h 23m,,,Marvel's the Avengers,91%,91%,"Aug 31, 2012",
Mike Leigh,Simon Channing Williams,Mike Leigh,October Films,"Channel Four Films, 
Thin Man Films",R,Drama,British English,"Oct 25, 1996, Original","Oct 15, 2020",$13.4M,2h 22m,,,Secrets & Lies,96%,91%,,
Sidney Lumet,"Martin Bregman, 
Martin Elfand",Frank Pierson,Warner Bros. Pictures,Artists Entertainment Complex,R,"Crime, 
Drama, 
LGBTQ+",English,"Sep 21, 1975, Wide","Aug 15, 2008",,2h 10m,Mono,35mm,Dog Day Afternoon,96%,90%,,
Hal Ashby,Andrew Braunsberg,Jerzy Kosinski,"United Artists, 
Warner Bros.","NatWest Ventures, 
Enigma, 
Lorimar Film Entertainment, 
CIP, 
Northstar, 
BSB, 
Fujisankei",PG,Comedy,English,"Dec 19, 1979, Wide","May 7, 2015",,2h 10m,Mono,,Being There,95%,92%,,
Werner Herzog,Werner Herzog,Werner Herzog,New Yorker Films,"Werner Herzog Filmproduktion, 
Hessischer Rundfunk",,Adventure,English,"Apr 3, 1972, Original","Feb 15, 2017",,1h 34m,,,Aguirre: The Wrath of God,96%,91%,,
Denis Villeneuve,"Shawn Levy, 
Dan Levine, 
Aaron Ryder, 
David Linde",Eric Heisserer,Paramount Pictures,"21 Laps Entertainment, 
FilmNation, 
Lava Bear Films",PG-13 (Brief Strong Language),"Sci-Fi, 
Mystery & Thriller, 
Drama",English,"Nov 11, 2016, Wide","Jan 31, 2017",$100.5M,1h 56m,Dolby Digital,,Arrival,94%,82%,"Jan 27, 2017",
Wim Wenders,"Anatole Dauman, 
Wim Wenders","Wim Wenders, 
Peter Handke",Orion Pictures,Argos Films,PG-13,Fantasy,German,"Jan 1, 1987, Wide","Mar 23, 2017",$120.8K,2h 8m,"Stereo, 
Dolby Stereo",Flat (1.66:1),Wings of Desire,95%,93%,,
Martin Scorsese,"Robert Chartoff, 
Irwin Winkler","Jake LaMotta, 
Joseph Carter, 
Peter Savage, 
Paul Schrader, 
Mardik Martin",United Artists,"United Artists, 
Chartoff-Winkler Productions",R,"Biography, 
Drama",English,"Jan 1, 1980, Wide","Nov 25, 2016",$87.3K,2h 8m,"Surround, 
Dolby Stereo",Flat (1.85:1),Raging Bull,92%,93%,,
Ryan Coogler,"Forest Whitaker, 
Nina Yang Bongiovi",Ryan Coogler,Weinstein Co.,Signature Productions,R (Some Drug Use|Language Throughout|Some Violence),Drama,English,"Jul 26, 2013, Wide","Dec 16, 2016",$16.1M,1h 25m,,,Fruitvale Station,94%,87%,,
Federico Fellini,"Angelo Rizzoli, 
Giuseppe Amato","Federico Fellini, 
Ennio Flaiano, 
Pier Paolo Pasolini, 
Tullio Pinelli","Republic Pictures, 
American International Pictures, 
Astor Pictures Corporation","Cinecittà, 
Pathé Consortium Cinéma",,Drama,English,"Apr 19, 1960, Original",,,2h 55m,,,La Dolce Vita,95%,90%,,"Sep 21, 2004"
Jean Cocteau,,"Jean Cocteau, 
Jeanne-Marie Leprince de Beaumont, 
Jean Cocteau",,Les Films André Paulvé,,Fantasy,Canadian French,"Jan 1, 1947, Wide","Jan 14, 2017",$138.2K,1h 35m,Mono,Flat (1.37:1),Beauty and the Beast,96%,90%,"Jun 21, 2002",
Stanley Kubrick,James B. Harris,"Stanley Kubrick, 
Jim Thompson, 
Lionel White","United Artists, 
Criterion Collection",Harris-Kubrick Productions,,"Crime, 
Drama",English,"May 20, 1956, Original","Mar 5, 2016",,1h 23m,,,The Killing,96%,92%,,
Jean Renoir,Claude Renoir,"Carl Koch, 
Jean Renoir","Cine Classics, 
Criterion Collection",Nouvelles Éditions de Films (NEF),,"Comedy, 
Drama",French (France),"Jul 8, 1939, Original","Jul 21, 2009",,1h 50m,,"35mm, 
Flat (1.37:1)",The Rules of the Game,97%,89%,,
Georges Franju,Jules Borkon,"Pierre Boileau, 
Pierre Gascar, 
Thomas Narcejac, 
Jean Redon, 
Claude Sautet","United Artists, 
Lopert Pictures Corp., 
Rialto Pictures","Champs-Élysées Production, 
Lux Film S.p.a.",,"Horror, 
Drama",Canadian French,"Oct 31, 1962, Original","Oct 29, 2016",$52.7K,1h 30m,,,Eyes Without a Face,97%,87%,,
Robert Wiene,"Rudolf Meinert, 
Erich Pommer","Hans Janowitz, 
Carl Mayer","Grapevine Video, 
Kino Video",Decla-Bioscop AG,,"Horror, 
Fantasy, 
Mystery & Thriller",German,"Mar 19, 1921, Wide","Mar 22, 2016",,1h 9m,,,The Cabinet of Dr. Caligari,96%,89%,,
